Source,Device Category,Hour Index,User Type,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue
google,mobile,000013,New Visitor,306,33.33%,4.93,00:03:59,4,$286.82
google,mobile,000116,New Visitor,305,40.98%,4.81,00:02:57,0,$0.00
google,mobile,000087,New Visitor,302,40.73%,4.60,00:03:02,0,$0.00
google,mobile,000038,New Visitor,301,35.55%,4.60,00:03:32,3,$162.33
google,mobile,000106,New Visitor,301,40.20%,4.10,00:03:09,3,$193.08
google,mobile,000016,New Visitor,300,36.00%,5.55,00:04:05,5,$404.81
google,mobile,000093,New Visitor,298,35.91%,4.63,00:03:23,2,$175.96
google,mobile,000042,New Visitor,296,38.18%,4.56,00:03:01,6,$432.42
google,mobile,000156,New Visitor,289,31.83%,5.46,00:03:50,1,$365.49
google,mobile,000159,New Visitor,289,37.02%,5.77,00:04:06,4,$359.27
google,mobile,000041,New Visitor,288,38.54%,4.90,00:03:51,4,$242.90
google,mobile,000155,New Visitor,287,30.31%,5.52,00:04:33,3,$107.91
google,mobile,000166,New Visitor,287,29.97%,6.20,00:04:13,4,$302.71
google,mobile,000035,New Visitor,284,36.27%,3.87,00:02:53,3,$119.94
google,mobile,000105,New Visitor,284,42.25%,4.65,00:03:23,4,$344.54
google,mobile,000012,New Visitor,282,32.62%,5.16,00:04:02,3,$177.51
google,mobile,000129,New Visitor,282,40.07%,5.27,00:04:00,5,$384.41
google,mobile,000037,New Visitor,277,34.66%,4.77,00:03:30,0,$0.00
google,mobile,000036,New Visitor,275,31.64%,4.53,00:03:37,0,$0.00
google,mobile,000160,New Visitor,275,40.00%,5.09,00:03:50,1,$69.99
google,mobile,000126,New Visitor,271,33.95%,4.53,00:03:38,2,$67.08
google,mobile,000154,New Visitor,267,32.58%,5.23,00:03:28,3,$234.09
google,mobile,000045,New Visitor,266,34.21%,4.92,00:03:11,1,$142.96
google,mobile,000011,New Visitor,263,36.12%,5.00,00:03:50,6,$284.08
google,mobile,000067,New Visitor,262,33.59%,5.30,00:03:41,2,$137.93
google,mobile,000112,New Visitor,262,42.37%,4.39,00:03:39,1,$53.97
google,mobile,000125,New Visitor,258,34.88%,4.79,00:03:59,2,$61.95
google,mobile,000039,New Visitor,256,35.16%,5.40,00:03:43,2,$112.95
google,mobile,000111,New Visitor,256,36.33%,4.42,00:03:12,3,$136.34
google,mobile,000117,New Visitor,256,41.41%,4.45,00:03:17,1,$34.97
google,mobile,000034,New Visitor,249,34.54%,4.76,00:03:15,2,$82.33
google,mobile,000109,New Visitor,244,36.07%,4.95,00:03:32,3,$163.90
google,mobile,000068,New Visitor,243,34.98%,4.23,00:03:09,1,$49.98
google,mobile,000104,New Visitor,242,42.98%,4.57,00:04:27,2,$59.85
google,mobile,000084,New Visitor,241,39.42%,4.35,00:03:18,1,$168.96
google,mobile,000040,New Visitor,238,31.51%,4.53,00:02:55,1,$79.96
google,mobile,000152,New Visitor,238,31.93%,5.36,00:03:42,4,$183.92
google,mobile,000010,New Visitor,237,37.55%,4.88,00:03:39,2,$121.96
google,mobile,000143,New Visitor,230,37.83%,6.14,00:03:23,1,$60.00
google,mobile,000167,New Visitor,230,31.30%,6.47,00:03:30,1,$19.97
google,mobile,000061,New Visitor,227,38.33%,4.44,00:02:39,2,$131.84
google,mobile,000083,New Visitor,225,36.89%,5.20,00:04:24,1,$44.98
google,mobile,000153,New Visitor,225,30.67%,4.89,00:03:40,1,$72.00
google,mobile,000066,New Visitor,223,36.32%,5.03,00:04:07,2,$92.15
google,mobile,000151,New Visitor,223,34.53%,5.04,00:04:15,2,$99.93
google,mobile,000110,New Visitor,214,36.92%,4.87,00:03:12,2,$78.94
google,mobile,000046,New Visitor,212,34.91%,5.68,00:04:24,0,$0.00
google,mobile,000033,New Visitor,210,37.14%,4.66,00:03:44,2,$84.94
google,mobile,000103,New Visitor,210,39.52%,4.34,00:03:25,0,$0.00
google,mobile,000065,New Visitor,208,35.58%,5.15,00:03:55,0,$0.00
google,mobile,000060,New Visitor,204,37.75%,4.53,00:04:13,1,$44.97
google,mobile,000009,New Visitor,201,36.32%,4.88,00:03:50,1,$31.97
google,mobile,000094,New Visitor,200,35.50%,4.50,00:03:36,1,$72.18
google,mobile,000077,New Visitor,196,42.86%,4.70,00:02:57,1,$59.99
google,mobile,000064,New Visitor,195,38.46%,3.97,00:03:51,0,$0.00
google,mobile,000082,New Visitor,193,37.31%,4.04,00:03:24,2,$207.86
google,mobile,000118,New Visitor,193,34.72%,4.98,00:03:26,2,$89.95
google,mobile,000008,New Visitor,191,30.37%,4.53,00:03:03,0,$0.00
google,mobile,000136,New Visitor,190,44.74%,6.35,00:04:16,0,$0.00
google,mobile,000081,New Visitor,188,40.96%,3.79,00:02:36,1,$67.38
google,mobile,000059,New Visitor,186,45.16%,3.69,00:03:04,2,$313.96
google,mobile,000062,New Visitor,183,38.25%,4.66,00:04:17,0,$0.00
google,mobile,000102,New Visitor,181,42.54%,4.25,00:03:25,0,$0.00
google,mobile,000032,New Visitor,180,33.33%,4.24,00:03:21,0,$0.00
google,mobile,000057,New Visitor,178,37.64%,3.84,00:02:48,1,$31.96
google,mobile,000069,New Visitor,175,41.14%,5.58,00:04:06,2,$140.79
google,mobile,000058,New Visitor,173,31.21%,5.25,00:04:01,1,$104.98
google,mobile,000031,New Visitor,166,40.36%,4.43,00:03:29,1,$104.49
google,mobile,000101,New Visitor,164,39.63%,4.54,00:03:39,2,$194.92
google,mobile,000063,New Visitor,163,36.81%,4.69,00:03:11,2,$80.92
google,mobile,000070,New Visitor,160,36.88%,6.31,00:04:15,1,$61.60
google,mobile,000078,New Visitor,159,32.08%,5.08,00:04:47,0,$0.00
google,mobile,000047,New Visitor,156,32.69%,6.56,00:03:39,4,$261.74
google,mobile,000135,Returning Visitor,155,39.35%,5.21,00:04:21,2,$359.92
google,mobile,000080,New Visitor,152,40.13%,5.55,00:03:30,6,$412.81
google,mobile,000119,New Visitor,151,37.09%,4.90,00:02:40,2,$113.97
google,mobile,000150,New Visitor,150,33.33%,5.73,00:04:08,1,$35.97
google,mobile,000079,New Visitor,143,39.86%,6.17,00:04:32,0,$0.00
google,mobile,000100,New Visitor,143,37.06%,4.17,00:03:46,0,$0.00
google,mobile,000095,New Visitor,142,32.39%,5.88,00:03:07,1,$89.97
google,mobile,000120,New Visitor,142,35.21%,4.79,00:03:41,0,$0.00
google,mobile,000056,New Visitor,141,36.88%,4.74,00:03:26,1,$64.98
google,mobile,000096,New Visitor,136,36.76%,5.19,00:03:36,1,$33.97
********** BUYERS - 10-13,mobile,000108,Returning Visitor,134,45.52%,4.30,00:02:42,16,$269.68
google,mobile,000144,New Visitor,134,32.84%,4.99,00:04:23,1,$49.97
google,mobile,000006,New Visitor,128,39.84%,4.92,00:02:40,2,$151.31
google,mobile,000163,Returning Visitor,128,45.31%,4.99,00:05:23,4,$320.91
google,mobile,000007,New Visitor,124,36.29%,5.73,00:05:07,0,$0.00
google,mobile,000072,New Visitor,124,33.87%,4.44,00:03:17,0,$0.00
********** BUYERS - 10-13,mobile,000108,New Visitor,123,53.66%,3.87,00:03:08,7,$144.86
google,desktop,000132,New Visitor,123,32.52%,5.91,00:03:54,0,$0.00
google,mobile,000048,New Visitor,122,34.43%,6.37,00:04:19,1,$14.97
google,mobile,000140,Returning Visitor,121,47.93%,4.26,00:03:06,3,$213.86
google,desktop,000133,New Visitor,120,45.00%,4.51,00:03:08,0,$0.00
google,mobile,000076,New Visitor,120,36.67%,5.04,00:04:48,0,$0.00
google,mobile,000099,New Visitor,119,35.29%,4.81,00:03:10,2,$78.87
google,desktop,000131,New Visitor,118,42.37%,5.65,00:03:30,2,$59.95
google,desktop,000134,New Visitor,117,43.59%,6.66,00:03:19,1,$94.88
google,mobile,000133,Returning Visitor,116,38.79%,4.54,00:04:59,1,$84.90
google,mobile,000139,Returning Visitor,115,52.17%,5.07,00:04:02,2,$87.93
google,mobile,000086,Returning Visitor,114,35.09%,5.18,00:04:39,2,$156.95
google,mobile,000071,New Visitor,113,33.63%,5.74,00:03:20,0,$0.00
google,mobile,000138,Returning Visitor,113,41.59%,3.99,00:04:07,1,$24.97
google,mobile,000149,New Visitor,113,31.86%,4.68,00:04:13,0,$0.00
google,desktop,000130,New Visitor,110,38.18%,5.82,00:04:11,1,$19.98
google,mobile,000164,Returning Visitor,110,39.09%,6.95,00:04:07,1,$37.96
google,mobile,000107,Returning Visitor,108,48.15%,4.86,00:03:39,0,$0.00
google,mobile,000128,Returning Visitor,108,42.59%,4.57,00:03:40,1,$48.98
google,mobile,000000,New Visitor,106,33.02%,5.14,00:05:24,1,$79.98
google,mobile,000030,New Visitor,106,44.34%,3.35,00:02:42,1,$54.97
google,mobile,000054,New Visitor,106,44.34%,4.90,00:03:12,0,$0.00
google,mobile,000097,New Visitor,106,30.19%,5.18,00:04:48,0,$0.00
google,mobile,000124,New Visitor,105,35.24%,6.14,00:04:23,1,$31.97
google,mobile,000106,Returning Visitor,104,41.35%,4.63,00:03:19,4,$255.89
google,mobile,000123,New Visitor,104,43.27%,4.95,00:03:20,0,$0.00
google,desktop,000087,New Visitor,102,27.45%,7.52,00:05:10,5,$177.26
google,mobile,000114,Returning Visitor,102,35.29%,5.02,00:04:19,2,$246.73
google,mobile,000055,New Visitor,101,33.66%,5.43,00:04:05,2,$268.96
********* NON-BUYERS 10-26,mobile,000156,Returning Visitor,100,36.00%,4.84,00:04:18,0,$0.00
google,desktop,000109,New Visitor,99,37.37%,5.87,00:04:45,4,$221.85
google,mobile,000088,Returning Visitor,99,45.45%,4.27,00:03:06,2,$184.93
google,mobile,000131,Returning Visitor,99,43.43%,5.20,00:03:57,2,$162.97
google,mobile,000132,Returning Visitor,99,54.55%,4.43,00:02:17,2,$119.93
google,mobile,000153,Returning Visitor,99,48.48%,4.69,00:03:41,2,$102.97
google,desktop,000108,New Visitor,98,32.65%,5.73,00:03:24,4,$137.88
google,mobile,000098,New Visitor,98,35.71%,5.00,00:02:53,0,$0.00
google,mobile,000160,Returning Visitor,97,46.39%,4.44,00:03:19,1,$33.97
google,mobile,000043,Returning Visitor,96,47.92%,3.62,00:03:53,1,$23.97
google,desktop,000110,New Visitor,95,29.47%,6.42,00:03:01,1,$34.97
google,mobile,000015,Returning Visitor,95,44.21%,4.48,00:02:55,2,$110.15
google,mobile,000085,Returning Visitor,95,38.95%,4.59,00:04:12,0,$0.00
google,mobile,000127,Returning Visitor,95,43.16%,3.64,00:03:04,1,$107.00
google,mobile,000134,Returning Visitor,95,47.37%,3.77,00:02:41,0,$0.00
google,mobile,000005,New Visitor,94,34.04%,4.49,00:03:33,0,$0.00
google,mobile,000148,New Visitor,94,35.11%,5.37,00:03:52,1,$78.99
google,mobile,000158,Returning Visitor,94,50.00%,4.22,00:04:16,2,$49.94
google,mobile,000162,Returning Visitor,94,39.36%,5.41,00:05:09,1,$40.99
google,mobile,000137,Returning Visitor,93,45.16%,4.46,00:02:24,3,$151.89
google,mobile,000156,Returning Visitor,93,32.26%,5.15,00:04:43,2,$72.84
google,desktop,000085,New Visitor,92,26.09%,6.58,00:04:55,1,$159.00
google,mobile,000017,Returning Visitor,91,43.96%,4.59,00:03:36,1,$35.98
google,mobile,000091,Returning Visitor,91,42.86%,4.23,00:02:35,2,$117.92
google,mobile,000109,Returning Visitor,91,40.66%,4.78,00:03:55,1,$69.12
google,mobile,000113,Returning Visitor,91,47.25%,3.96,00:02:58,0,$0.00
google,desktop,000086,New Visitor,89,38.20%,7.18,00:02:59,0,$0.00
google,mobile,000018,Returning Visitor,89,52.81%,3.98,00:02:33,1,$124.98
google,mobile,000087,Returning Visitor,88,38.64%,6.59,00:03:17,3,$259.91
google,desktop,000084,New Visitor,87,39.08%,4.28,00:03:08,0,$0.00
google,mobile,000053,New Visitor,87,43.68%,4.68,00:04:25,0,$0.00
google,mobile,000110,Returning Visitor,87,47.13%,4.11,00:04:48,4,$190.05
google,desktop,000111,New Visitor,86,37.21%,5.24,00:03:02,0,$0.00
google,mobile,000115,Returning Visitor,86,38.37%,6.10,00:04:10,4,$371.88
google,mobile,000157,Returning Visitor,86,50.00%,4.52,00:03:21,2,$170.79
********* NON-BUYERS 10-26,mobile,000011,Returning Visitor,85,28.24%,4.20,00:03:53,0,$0.00
google,mobile,000122,New Visitor,85,31.76%,4.91,00:04:07,1,$26.58
google,mobile,000159,Returning Visitor,85,51.76%,4.19,00:04:51,4,$274.89
google,desktop,000140,New Visitor,84,26.19%,7.71,00:06:02,0,$0.00
google,mobile,000016,Returning Visitor,84,51.19%,3.81,00:02:25,0,$0.00
google,mobile,000019,Returning Visitor,84,51.19%,5.13,00:03:32,0,$0.00
google,mobile,000090,Returning Visitor,84,40.48%,5.30,00:05:51,1,$8.98
google,mobile,000108,Returning Visitor,84,36.90%,4.57,00:04:16,2,$71.79
google,mobile,000141,Returning Visitor,84,36.90%,5.92,00:04:49,0,$0.00
google,mobile,000165,Returning Visitor,84,50.00%,6.61,00:04:25,1,$34.99
********** BUYERS - 10-13,mobile,000156,Returning Visitor,83,44.58%,5.93,00:06:32,3,$223.46
google,mobile,000103,Returning Visitor,83,45.78%,4.65,00:04:11,3,$154.93
google,mobile,000130,Returning Visitor,83,44.58%,5.53,00:05:30,0,$0.00
google,desktop,000162,New Visitor,82,40.24%,5.05,00:03:49,0,$0.00
google,mobile,000145,New Visitor,82,29.27%,6.27,00:05:00,0,$0.00
google,desktop,000141,New Visitor,81,29.63%,6.11,00:04:36,2,$45.94
google,mobile,000089,Returning Visitor,81,48.15%,5.01,00:05:01,2,$138.96
google,mobile,000121,New Visitor,81,34.57%,5.04,00:03:11,1,$81.99
google,mobile,000155,Returning Visitor,81,45.68%,4.53,00:03:53,2,$150.95
google,desktop,000154,New Visitor,77,32.47%,7.32,00:05:09,0,$0.00
google,desktop,000160,New Visitor,77,24.68%,9.43,00:08:17,3,$320.30
google,mobile,000041,Returning Visitor,77,48.05%,3.69,00:03:18,0,$0.00
google,mobile,000136,Returning Visitor,77,46.75%,5.51,00:03:25,2,$73.08
google,mobile,000151,Returning Visitor,75,52.00%,3.33,00:02:07,0,$0.00
google,desktop,000159,New Visitor,74,25.68%,7.97,00:06:52,2,$74.96
google,mobile,000014,Returning Visitor,74,47.30%,4.01,00:03:30,0,$0.00
google,mobile,000042,Returning Visitor,74,54.05%,4.30,00:03:15,0,$0.00
google,mobile,000105,Returning Visitor,74,48.65%,4.73,00:04:21,0,$0.00
google,desktop,000138,New Visitor,73,39.73%,5.55,00:04:41,1,$247.99
google,mobile,000013,Returning Visitor,73,30.14%,5.84,00:03:26,0,$0.00
google,mobile,000052,New Visitor,73,38.36%,4.41,00:02:54,0,$0.00
google,mobile,000093,Returning Visitor,73,47.95%,5.04,00:03:18,5,$469.87
google,mobile,000146,New Visitor,73,41.10%,7.12,00:04:08,0,$0.00
google,tablet,000140,New Visitor,73,32.88%,7.78,00:06:36,0,$0.00
google,desktop,000037,New Visitor,72,37.50%,5.49,00:04:02,1,$34.97
google,mobile,000020,New Visitor,72,52.78%,4.29,00:01:45,1,$71.97
google,mobile,000066,Returning Visitor,72,43.06%,4.74,00:03:30,0,$0.00
google,mobile,000092,Returning Visitor,72,47.22%,6.00,00:05:14,3,$165.91
google,mobile,000154,Returning Visitor,72,55.56%,5.21,00:03:01,0,$0.00
google,mobile,000161,Returning Visitor,72,52.78%,4.33,00:03:34,0,$0.00
google,desktop,000018,New Visitor,71,36.62%,4.68,00:02:54,0,$0.00
google,desktop,000013,New Visitor,70,32.86%,6.97,00:03:33,1,$82.48
google,desktop,000014,New Visitor,70,25.71%,6.40,00:03:19,0,$0.00
google,mobile,000045,Returning Visitor,70,40.00%,5.11,00:05:19,0,$0.00
google,mobile,000166,Returning Visitor,70,34.29%,5.44,00:04:42,0,$0.00
google,desktop,000016,New Visitor,69,21.74%,8.04,00:05:21,3,$181.04
google,mobile,000004,New Visitor,69,40.58%,4.29,00:03:39,0,$0.00
google,mobile,000038,Returning Visitor,69,52.17%,3.03,00:02:03,0,$0.00
google,mobile,000044,Returning Visitor,69,36.23%,5.04,00:03:37,0,$0.00
google,mobile,000075,New Visitor,69,31.88%,4.96,00:04:04,0,$0.00
google,mobile,000111,Returning Visitor,69,57.97%,4.52,00:02:22,0,$0.00
google,mobile,000104,Returning Visitor,68,50.00%,5.04,00:05:05,0,$0.00
google,mobile,000112,Returning Visitor,68,38.24%,5.12,00:03:19,1,$199.97
google,mobile,000129,Returning Visitor,68,42.65%,4.50,00:03:18,1,$202.96
google,mobile,000152,Returning Visitor,68,52.94%,6.10,00:05:39,0,$0.00
google,tablet,000133,New Visitor,68,47.06%,4.99,00:03:16,1,$69.98
google,mobile,000102,Returning Visitor,67,55.22%,4.04,00:03:26,1,$111.45
google,mobile,000116,Returning Visitor,67,47.76%,4.96,00:03:53,0,$0.00
google,mobile,000147,New Visitor,67,40.30%,4.82,00:02:35,0,$0.00
google,tablet,000090,New Visitor,67,37.31%,5.66,00:04:11,0,$0.00
********** BUYERS - 10-13,mobile,000109,Returning Visitor,66,46.97%,5.05,00:03:09,9,$366.87
google,desktop,000015,New Visitor,66,31.82%,5.98,00:04:39,3,$255.31
google,desktop,000041,New Visitor,66,34.85%,6.67,00:03:49,0,$0.00
google,desktop,000115,New Visitor,66,28.79%,6.32,00:04:14,0,$0.00
google,desktop,000139,New Visitor,66,28.79%,7.44,00:03:45,1,$34.99
google,mobile,000060,Returning Visitor,66,39.39%,6.20,00:04:32,0,$0.00
google,mobile,000062,Returning Visitor,66,39.39%,4.41,00:04:10,0,$0.00
google,mobile,000084,Returning Visitor,66,39.39%,6.32,00:04:53,4,$432.66
google,mobile,000125,Returning Visitor,66,48.48%,3.89,00:02:18,0,$0.00
google,desktop,000017,New Visitor,65,36.92%,6.48,00:04:27,3,$138.86
google,desktop,000156,New Visitor,65,29.23%,6.38,00:05:26,0,$0.00
google,mobile,000034,Returning Visitor,65,44.62%,4.03,00:03:42,1,$23.97
google,mobile,000049,New Visitor,65,35.38%,4.48,00:03:10,0,$0.00
google,mobile,000051,New Visitor,65,41.54%,4.12,00:03:28,0,$0.00
google,mobile,000064,Returning Visitor,65,53.85%,3.88,00:02:29,1,$34.96
google,mobile,000142,Returning Visitor,65,47.69%,6.06,00:06:17,1,$35.98
google,tablet,000134,New Visitor,65,43.08%,5.11,00:03:40,1,$81.97
google,desktop,000036,New Visitor,64,40.62%,4.53,00:02:41,0,$0.00
google,mobile,000003,New Visitor,64,32.81%,5.77,00:04:27,0,$0.00
google,mobile,000040,Returning Visitor,64,46.88%,4.98,00:02:42,1,$69.99
google,mobile,000082,Returning Visitor,64,40.62%,5.62,00:03:48,3,$332.82
google,mobile,000126,Returning Visitor,64,40.62%,4.25,00:04:35,2,$57.99
********* NON-BUYERS 10-26,mobile,000012,Returning Visitor,63,38.10%,5.48,00:05:15,4,$270.30
google,desktop,000012,New Visitor,63,30.16%,6.86,00:04:51,2,$117.95
google,desktop,000043,New Visitor,63,33.33%,9.40,00:05:27,2,$121.97
google,desktop,000088,New Visitor,63,30.16%,7.71,00:03:38,2,$533.35
google,mobile,000067,Returning Visitor,63,42.86%,6.00,00:04:22,2,$89.48
********* NON-BUYERS 10-26,mobile,000012,New Visitor,62,30.65%,3.66,00:03:00,1,$139.00
google,desktop,000019,New Visitor,62,20.97%,5.66,00:04:18,2,$84.97
google,desktop,000161,New Visitor,62,37.10%,6.85,00:04:01,1,$189.00
google,desktop,000039,New Visitor,61,31.15%,5.41,00:03:43,0,$0.00
google,desktop,000045,New Visitor,61,40.98%,5.26,00:04:00,0,$0.00
google,desktop,000082,New Visitor,61,42.62%,6.70,00:05:12,1,$30.96
google,desktop,000164,New Visitor,61,45.90%,4.92,00:03:00,0,$0.00
google,mobile,000001,New Visitor,61,34.43%,6.87,00:05:34,0,$0.00
google,mobile,000011,Returning Visitor,61,57.38%,3.49,00:01:46,4,$204.91
google,mobile,000037,Returning Visitor,61,42.62%,5.69,00:03:27,1,$89.99
google,mobile,000083,Returning Visitor,61,50.82%,3.92,00:05:51,0,$0.00
google,tablet,000091,New Visitor,61,39.34%,5.77,00:04:11,1,$40.97
google,desktop,000061,New Visitor,60,30.00%,4.72,00:02:18,1,$81.96
google,desktop,000089,New Visitor,60,41.67%,4.85,00:04:19,2,$280.82
google,mobile,000012,Returning Visitor,60,53.33%,4.82,00:02:30,3,$134.19
google,mobile,000080,Returning Visitor,60,48.33%,3.77,00:04:17,0,$0.00
google,desktop,000065,New Visitor,59,38.98%,7.19,00:04:17,2,$258.95
google,desktop,000158,New Visitor,59,32.20%,8.07,00:04:14,1,$68.99
google,mobile,000039,Returning Visitor,59,40.68%,4.71,00:05:11,1,$22.98
google,mobile,000073,New Visitor,59,37.29%,5.51,00:02:35,0,$0.00
google,desktop,000038,New Visitor,58,43.10%,5.60,00:03:12,1,$39.97
google,desktop,000092,New Visitor,58,27.59%,7.14,00:04:14,2,$310.76
google,mobile,000002,New Visitor,58,48.28%,4.28,00:02:34,0,$0.00
google,mobile,000035,Returning Visitor,58,46.55%,5.69,00:04:31,2,$157.97
google,mobile,000065,Returning Visitor,58,51.72%,3.43,00:02:37,0,$0.00
google,mobile,000068,Returning Visitor,58,58.62%,3.95,00:01:49,0,$0.00
google,mobile,000117,Returning Visitor,58,46.55%,3.78,00:03:05,0,$0.00
google,desktop,000040,New Visitor,57,33.33%,5.14,00:03:39,0,$0.00
google,desktop,000157,New Visitor,57,35.09%,5.47,00:05:37,0,$0.00
google,mobile,000036,Returning Visitor,57,56.14%,7.30,00:03:57,1,$60.97
********* NON-BUYERS 10-26,mobile,000011,New Visitor,56,41.07%,3.50,00:02:49,0,$0.00
google,desktop,000034,New Visitor,56,30.36%,5.18,00:03:09,0,$0.00
google,desktop,000064,New Visitor,56,37.50%,4.20,00:02:10,1,$24.98
google,desktop,000165,New Visitor,56,33.93%,5.62,00:04:28,3,$173.96
google,mobile,000033,Returning Visitor,56,44.64%,3.52,00:02:17,2,$81.14
google,mobile,000050,New Visitor,56,28.57%,7.12,00:04:34,0,$0.00
google,mobile,000078,Returning Visitor,56,46.43%,4.89,00:03:07,2,$91.96
google,tablet,000012,New Visitor,56,25.00%,7.27,00:05:37,1,$29.97
google,desktop,000114,New Visitor,55,43.64%,4.98,00:02:43,1,$104.78
google,mobile,000058,Returning Visitor,55,49.09%,4.58,00:03:32,4,$171.81
google,mobile,000081,Returning Visitor,55,43.64%,4.20,00:07:37,1,$43.97
google,tablet,000139,New Visitor,55,49.09%,5.73,00:03:12,1,$61.98
********** BUYERS - 10-13,mobile,000012,Returning Visitor,54,25.93%,6.87,00:08:59,6,$384.09
google,desktop,000128,New Visitor,54,27.78%,5.35,00:03:50,2,$101.96
google,mobile,000010,Returning Visitor,54,55.56%,4.20,00:03:19,2,$72.09
google,mobile,000021,New Visitor,54,64.81%,2.50,00:01:49,0,$0.00
google,mobile,000074,New Visitor,54,40.74%,5.13,00:03:36,3,$218.96
google,tablet,000015,New Visitor,54,27.78%,6.43,00:04:51,0,$0.00
google,tablet,000084,New Visitor,54,20.37%,5.50,00:04:33,1,$89.99
google,tablet,000109,New Visitor,54,35.19%,5.67,00:03:51,2,$194.93
google,desktop,000033,New Visitor,53,49.06%,3.79,00:01:29,1,$24.97
google,desktop,000042,New Visitor,53,22.64%,7.28,00:05:17,0,$0.00
google,desktop,000058,New Visitor,53,30.19%,5.57,00:04:14,1,$72.00
google,desktop,000155,New Visitor,53,28.30%,8.96,00:03:20,3,$159.05
google,mobile,000059,Returning Visitor,53,43.40%,4.85,00:04:43,2,$105.96
google,mobile,000061,Returning Visitor,53,45.28%,4.57,00:02:40,2,$236.93
google,mobile,000079,Returning Visitor,53,45.28%,3.58,00:03:46,1,$24.97
google,tablet,000111,New Visitor,53,26.42%,6.74,00:04:34,1,$23.90
google,tablet,000138,New Visitor,53,47.17%,6.00,00:04:07,0,$0.00
google,tablet,000163,New Visitor,53,24.53%,9.09,00:05:49,0,$0.00
********* NON-BUYERS 10-26,mobile,000156,New Visitor,52,28.85%,5.29,00:05:37,0,$0.00
********** BUYERS - 10-13,mobile,000109,New Visitor,52,51.92%,4.13,00:02:27,7,$249.86
google,desktop,000090,New Visitor,52,34.62%,5.13,00:03:08,1,$24.97
google,desktop,000135,New Visitor,52,53.85%,4.98,00:02:38,2,$131.01
google,mobile,000150,Returning Visitor,52,48.08%,6.35,00:03:37,0,$0.00
google,tablet,000017,New Visitor,52,26.92%,8.27,00:07:13,0,$0.00
